session_id,session_date,app_name,app_category,device,user_age_group,user_tech_savvy,intended_action,total_dark_patterns_found,total_pattern_instances,hidden_fees,fake_urgency,pre_checked_boxes,confirmshaming,sneaked_into_basket,hard_to_cancel,false_social_proof,forced_continuity,roach_motel,misdirection,price_comparison_blocking,trick_questions,disguised_ads,bait_and_switch,time_spent_minutes,intended_spend_usd,actual_spend_usd,extra_charges_usd,action_outcome,completed_intended_action,frustration_score,would_use_again
S-902345,2024-06-11,FoodFast-Delivery,Food Delivery,Desktop,25-34,High,order_dinner,3,8,3,0,0,0,4,0,0,0,0,1,0,0,0,0,8.1,25,25,61.1,noticed_hidden_fee_abandoned,0,5.1,0
S-908459,2025-08-23,CleanShop-Ethical,E-commerce,Mobile,25-34,High,buy_one_item,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,40,40,0,completed_purchase,1,1,1
S-906538,2025-04-26,FoodFast-Delivery,Food Delivery,Mobile,18-24,Low,order_dinner,2,6,4,2,0,0,0,0,0,0,0,0,0,0,0,0,6.9,25,35.96,10.96,completed_purchase,1,3.8,1
S-900922,2024-09-09,TravelDeal-Booking,Travel,Mobile,25-34,Medium,book_cheapest_option,4,8,0,1,0,0,0,0,2,0,0,0,4,1,0,0,13.5,150,150,0,completed_booking,1,4.7,1
S-908531,2025-01-16,FairBook-Travel,Travel,Desktop,18-24,Low,book_cheapest_option,2,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,10.9,150,162.6,12.6,completed_booking,1,1.7,1
S-908728,2025-11-03,TravelDeal-Booking,Travel,Desktop,18-24,Medium,book_cheapest_option,6,10,2,1,0,0,0,0,2,0,0,0,1,2,0,2,14.8,150,180.78,30.78,completed_booking,1,5.9,0
S-900632,2025-11-15,FairBook-Travel,Travel,Desktop,18-24,Medium,book_cheapest_option,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,11.1,150,158.63,8.63,completed_booking,1,1.7,1
S-909308,2025-01-31,SocialFeed-App,Social Media,Mobile,18-24,Low,check_notifications,4,7,0,0,0,0,0,1,0,0,2,1,0,3,0,0,6.4,0,0,0,completed_purchase,1,3.0,1
S-904844,2024-10-03,OpenApp-Freemium,Productivity,Mobile,25-34,Medium,try_free_trial,4,7,0,0,0,2,0,1,0,2,0,0,0,2,0,0,10.3,0,16.53,16.53,signed_up,1,3.2,1
S-909010,2025-06-13,CleanShop-Ethical,E-commerce,Mobile,45-54,Low,buy_one_item,2,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,6.6,40,40,0,completed_purchase,1,1,1
S-911622,2025-05-09,OpenApp-Freemium,Productivity,Tablet,18-24,Low,try_free_trial,4,7,0,0,1,0,0,1,0,4,0,0,0,1,0,0,9.1,0,22.61,22.61,signed_up,1,3.7,1
S-905168,2025-11-21,NewsHub-Media,News/Media,Mobile,25-34,Medium,read_one_article,1,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3.6,0,0,0,completed_purchase,1,1.4,1
S-910451,2024-11-14,NewsHub-Media,News/Media,Desktop,55+,Medium,read_one_article,5,8,0,0,0,1,0,0,0,2,2,1,0,0,2,0,6.1,0,20.04,20.04,completed_purchase,1,4.7,1
S-911012,2025-03-05,TravelDeal-Booking,Travel,Desktop,55+,Low,book_cheapest_option,5,12,3,3,0,0,0,0,1,0,0,0,4,0,0,1,17.5,150,150,55.9,noticed_hidden_fee_abandoned,0,5.5,0
S-910686,2025-11-02,TravelDeal-Booking,Travel,Mobile,18-24,Low,book_cheapest_option,3,5,0,2,0,0,0,0,1,0,0,0,2,0,0,0,13.2,150,150,0,completed_booking,1,2.1,1
S-907294,2024-07-01,SocialFeed-App,Social Media,Mobile,55+,Low,check_notifications,2,5,0,0,0,0,0,0,0,0,1,0,0,4,0,0,4.6,0,0,0,completed_purchase,1,3.1,1
S-900184,2025-04-28,FairBook-Travel,Travel,Desktop,55+,Medium,book_cheapest_option,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10.3,150,155.83,5.83,completed_booking,1,1,1
S-905740,2025-11-16,OpenApp-Freemium,Productivity,Mobile,35-44,Low,try_free_trial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,0,0,0,signed_up,1,1,1
S-905668,2025-06-25,OpenApp-Freemium,Productivity,Mobile,18-24,Low,try_free_trial,2,4,0,0,0,2,0,0,0,2,0,0,0,0,0,0,8.0,0,26.63,26.63,signed_up,1,2.1,1
S-905590,2025-07-10,TravelDeal-Booking,Travel,Desktop,35-44,Low,book_cheapest_option,3,3,1,0,1,0,0,0,0,0,0,0,1,0,0,0,11.6,150,168.66,18.66,completed_booking,1,3.0,1
S-909833,2024-10-28,SocialFeed-App,Social Media,Mobile,55+,High,check_notifications,6,8,0,1,0,0,0,1,0,1,2,2,0,0,1,0,7.8,0,0,0,completed_purchase,1,4.8,0
S-911722,2025-04-10,CleanShop-Ethical,E-commerce,Desktop,45-54,Low,buy_one_item,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,40,40,0,completed_purchase,1,1.1,1
S-909738,2025-04-25,SocialFeed-App,Social Media,Desktop,25-34,High,check_notifications,4,10,0,0,0,0,0,1,0,0,0,4,0,4,1,0,6.5,0,0,0,completed_purchase,1,5.4,1
S-909762,2025-09-17,QuickStream-Video,Subscription,Desktop,25-34,High,cancel_subscription,6,11,0,0,1,3,0,1,0,1,4,1,0,0,0,0,10.7,0,0,14.42,gave_up_cancelling,0,5.0,0
S-906165,2025-09-30,OpenApp-Freemium,Productivity,Tablet,35-44,Medium,try_free_trial,4,7,0,1,0,1,0,0,0,4,0,0,0,1,0,0,10.4,0,21.43,21.43,signed_up,1,2.8,0
S-908320,2025-06-01,MegaShop-Ecommerce,E-commerce,Desktop,25-34,High,buy_one_item,4,8,4,1,1,0,2,0,0,0,0,0,0,0,0,0,9.4,40,98.54,58.54,completed_purchase,1,4.9,1
S-902484,2025-03-10,CleanShop-Ethical,E-commerce,Mobile,18-24,Low,buy_one_item,3,3,1,0,0,0,0,0,0,0,0,0,0,1,1,0,6.5,40,50.05,10.05,completed_purchase,1,2.1,1
S-906910,2024-10-10,FitPro-Subscription,Fitness SaaS,Desktop,18-24,Medium,cancel_subscription,7,15,0,0,0,3,0,4,0,1,1,0,0,4,1,1,9.6,0,0,36.46,gave_up_cancelling,0,7.8,0
S-910262,2025-04-07,FoodFast-Delivery,Food Delivery,Tablet,35-44,High,order_dinner,3,6,2,2,2,0,0,0,0,0,0,0,0,0,0,0,6.5,25,65.17,40.17,completed_purchase,1,3.6,1
S-901169,2024-09-26,NewsHub-Media,News/Media,Mobile,35-44,High,read_one_article,4,9,0,0,0,0,0,1,0,4,2,0,0,0,2,0,6.6,0,0,0,completed_purchase,1,4.9,0
S-907770,2024-09-30,QuickStream-Video,Subscription,Mobile,45-54,Medium,cancel_subscription,6,14,0,0,2,2,0,2,0,3,4,1,0,0,0,0,8.6,0,28.93,28.93,completed_cancellation,1,6.2,1
S-911040,2024-10-14,MegaShop-Ecommerce,E-commerce,Tablet,45-54,High,buy_one_item,6,11,1,2,1,0,2,0,4,0,0,0,0,0,0,1,9.0,40,85.41,45.41,completed_purchase,1,5.6,1
S-901342,2025-03-20,SocialFeed-App,Social Media,Desktop,45-54,High,check_notifications,5,9,0,0,0,0,0,1,0,1,0,2,0,3,2,0,8.7,0,0,0,completed_purchase,1,3.6,1
S-906766,2024-09-06,OpenApp-Freemium,Productivity,Tablet,55+,High,try_free_trial,2,5,0,0,0,0,0,1,0,4,0,0,0,0,0,0,7.7,0,0,0,signed_up,1,3.6,1
S-901360,2025-11-25,FairBook-Travel,Travel,Mobile,55+,Low,book_cheapest_option,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,10.7,150,150,22.76,abandoned_cart,0,2.2,1
S-903837,2025-08-14,FoodFast-Delivery,Food Delivery,Mobile,45-54,Low,order_dinner,3,6,0,0,3,0,2,0,0,0,0,1,0,0,0,0,7.4,25,92.04,67.04,completed_purchase,1,4.4,1
S-910395,2025-03-24,TravelDeal-Booking,Travel,Mobile,18-24,Low,book_cheapest_option,3,9,3,0,0,0,0,0,0,0,0,0,4,2,0,0,16.0,150,176.07,26.07,completed_booking,1,4.8,1
S-908366,2024-08-23,FoodFast-Delivery,Food Delivery,Mobile,55+,Low,order_dinner,5,10,1,2,3,0,3,0,0,1,0,0,0,0,0,0,9.3,25,126.18,101.18,completed_purchase,1,4.9,1
S-900726,2025-03-16,MegaShop-Ecommerce,E-commerce,Mobile,55+,Low,buy_one_item,5,12,3,3,2,0,0,0,3,0,0,0,0,0,0,1,9.9,40,119.79,79.79,completed_purchase,1,5.1,1
S-909644,2025-05-12,CleanShop-Ethical,E-commerce,Desktop,55+,Medium,buy_one_item,5,5,0,0,0,1,0,0,0,0,1,1,0,1,0,1,8.3,40,40,12.11,abandoned_cart,0,2.3,1
S-901840,2025-01-16,FitPro-Subscription,Fitness SaaS,Mobile,25-34,High,cancel_subscription,5,9,0,0,0,2,0,4,0,1,1,0,0,1,0,0,6.6,0,0,0,completed_cancellation,1,3.9,0
S-901699,2025-01-13,MegaShop-Ecommerce,E-commerce,Desktop,45-54,High,buy_one_item,5,10,3,1,3,0,0,0,2,0,0,0,0,0,0,1,9.2,40,40,47.11,noticed_hidden_fee_abandoned,0,4.7,1
S-909445,2025-05-10,FoodFast-Delivery,Food Delivery,Desktop,55+,Medium,order_dinner,3,4,1,0,1,0,2,0,0,0,0,0,0,0,0,0,5.3,25,70.24,45.24,completed_purchase,1,3.0,1
S-903070,2025-07-08,FitPro-Subscription,Fitness SaaS,Desktop,18-24,Medium,cancel_subscription,4,8,0,0,0,1,0,4,0,1,2,0,0,0,0,0,8.0,0,27.25,27.25,completed_cancellation,1,5.1,1
S-910126,2025-08-15,CleanShop-Ethical,E-commerce,Mobile,55+,High,buy_one_item,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,6.2,40,40,0,completed_purchase,1,1.1,1
S-900257,2024-10-25,NewsHub-Media,News/Media,Desktop,35-44,Low,read_one_article,6,13,0,0,1,1,0,1,0,4,3,0,0,0,3,0,6.1,0,34.03,34.03,completed_purchase,1,6.7,1
S-906002,2025-10-17,TravelDeal-Booking,Travel,Tablet,18-24,High,book_cheapest_option,7,14,1,4,1,0,0,0,1,0,0,0,4,0,1,2,17.0,150,150,57.23,abandoned_cart,0,7.5,1
S-902395,2025-03-25,FairBook-Travel,Travel,Mobile,45-54,Low,book_cheapest_option,2,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,11.4,150,150,0,completed_booking,1,2.7,1
S-907656,2024-11-24,FoodFast-Delivery,Food Delivery,Mobile,25-34,High,order_dinner,4,6,2,0,2,0,1,0,0,0,0,1,0,0,0,0,5.9,25,82.18,57.18,completed_purchase,1,3.9,0
S-909990,2024-10-10,OpenApp-Freemium,Productivity,Mobile,25-34,Low,try_free_trial,2,3,0,0,0,1,0,0,0,2,0,0,0,0,0,0,6.1,0,22.69,22.69,signed_up,1,1.2,1
S-906173,2025-03-21,TravelDeal-Booking,Travel,Mobile,45-54,High,book_cheapest_option,3,9,3,0,0,0,0,0,4,0,0,0,0,0,0,2,15.6,150,191.37,41.37,completed_booking,1,4.5,1
S-910253,2024-09-16,OpenApp-Freemium,Productivity,Mobile,18-24,High,try_free_trial,2,5,0,0,0,1,0,0,0,4,0,0,0,0,0,0,7.3,0,0,0,signed_up,1,2.2,1
S-902145,2024-12-06,FairBook-Travel,Travel,Desktop,25-34,Low,book_cheapest_option,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10.6,150,155.79,5.79,completed_booking,1,1.6,1
S-911128,2025-10-31,FitPro-Subscription,Fitness SaaS,Desktop,35-44,High,cancel_subscription,6,14,1,0,0,2,0,4,0,4,0,0,0,2,1,0,11.4,0,6.03,6.03,completed_cancellation,1,6.8,1
S-910289,2024-07-06,MegaShop-Ecommerce,E-commerce,Mobile,55+,Medium,buy_one_item,4,6,0,1,2,0,0,0,1,0,0,0,0,0,0,2,8.2,40,96.64,56.64,completed_purchase,1,4.3,0
S-904360,2025-04-24,FairBook-Travel,Travel,Mobile,25-34,Low,book_cheapest_option,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10.7,150,161.0,11.0,completed_booking,1,1,1
S-907124,2025-10-02,NewsHub-Media,News/Media,Mobile,18-24,High,read_one_article,3,6,0,0,0,0,0,0,0,1,1,0,0,0,4,0,4.9,0,0,0,completed_purchase,1,4.3,0
S-901851,2025-02-27,FairBook-Travel,Travel,Desktop,18-24,Low,book_cheapest_option,2,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,11.4,150,167.95,17.95,completed_booking,1,1,1
S-902423,2025-02-22,FoodFast-Delivery,Food Delivery,Mobile,18-24,Medium,order_dinner,5,11,4,1,1,0,4,0,0,0,0,0,0,0,1,0,8.8,25,25,128.3,noticed_hidden_fee_abandoned,0,5.1,1
S-905487,2025-08-05,FitPro-Subscription,Fitness SaaS,Desktop,35-44,Medium,cancel_subscription,5,11,0,0,0,2,0,3,0,3,0,0,0,2,1,0,7.5,0,26.98,26.98,completed_cancellation,1,6.4,1
S-903604,2024-07-13,MegaShop-Ecommerce,E-commerce,Mobile,18-24,Low,buy_one_item,2,4,0,0,2,0,0,0,2,0,0,0,0,0,0,0,6.5,40,47.48,7.48,completed_purchase,1,2.8,1
S-905644,2025-05-31,FoodFast-Delivery,Food Delivery,Desktop,35-44,High,order_dinner,3,6,0,0,1,0,3,0,0,0,0,2,0,0,0,0,8.2,25,88.3,63.3,completed_purchase,1,4.4,1
S-905974,2025-02-26,SocialFeed-App,Social Media,Mobile,18-24,Medium,check_notifications,6,9,0,0,0,0,0,2,0,0,1,2,1,2,1,0,6.4,0,0,0,completed_purchase,1,4.0,0
S-910422,2025-03-26,FairBook-Travel,Travel,Tablet,18-24,High,book_cheapest_option,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.0,150,150,0,completed_booking,1,1,1
S-904938,2025-08-02,MegaShop-Ecommerce,E-commerce,Mobile,35-44,Low,buy_one_item,5,11,3,3,0,0,2,0,1,0,0,0,0,0,0,2,8.4,40,109.16,69.16,completed_purchase,1,4.7,1
S-906477,2024-09-29,FoodFast-Delivery,Food Delivery,Mobile,18-24,High,order_dinner,5,10,2,2,2,0,3,0,0,0,0,1,0,0,0,0,10.4,25,83.87,58.87,completed_purchase,1,4.5,1
S-905332,2025-09-26,SocialFeed-App,Social Media,Desktop,55+,Low,check_notifications,5,11,0,0,0,0,0,0,0,0,1,3,0,2,4,1,6.7,0,16.35,16.35,completed_purchase,1,5.2,1
S-905966,2025-03-22,TravelDeal-Booking,Travel,Mobile,35-44,High,book_cheapest_option,5,11,3,1,2,0,0,0,0,0,0,0,4,0,0,1,16.7,150,150,69.82,noticed_hidden_fee_abandoned,0,4.6,1
S-910119,2025-01-20,QuickStream-Video,Subscription,Mobile,45-54,Low,cancel_subscription,6,16,1,0,0,3,0,4,0,4,3,1,0,0,0,0,12.2,0,0,28.92,gave_up_cancelling,0,7.0,0
S-906003,2025-11-25,QuickStream-Video,Subscription,Desktop,55+,Low,cancel_subscription,5,11,0,0,1,0,0,3,0,4,2,1,0,0,0,0,11.4,0,0,19.07,gave_up_cancelling,0,5.1,0
S-900647,2024-10-09,CleanShop-Ethical,E-commerce,Mobile,18-24,Medium,buy_one_item,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5.6,40,40,0,completed_purchase,1,1,1
S-908075,2025-05-31,SocialFeed-App,Social Media,Mobile,45-54,Low,check_notifications,2,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2.8,0,0,0,completed_purchase,1,1,1
S-909972,2024-08-31,CleanShop-Ethical,E-commerce,Mobile,18-24,Medium,buy_one_item,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5.8,40,40,0,completed_purchase,1,2.7,1
S-902714,2024-10-17,FairBook-Travel,Travel,Tablet,25-34,Medium,book_cheapest_option,2,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,12.2,150,177.11,27.11,completed_booking,1,2.2,1
S-911951,2024-06-06,FoodFast-Delivery,Food Delivery,Mobile,25-34,Low,order_dinner,5,10,1,1,3,0,4,0,0,0,0,0,0,1,0,0,11.3,25,146.47,121.47,completed_purchase,1,4.5,1
S-902567,2024-07-08,OpenApp-Freemium,Productivity,Mobile,45-54,High,try_free_trial,1,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,5.6,0,0,0,signed_up,1,2.4,1
S-906068,2024-06-17,NewsHub-Media,News/Media,Mobile,25-34,Low,read_one_article,5,7,0,0,0,1,0,0,0,3,1,1,0,1,0,0,5.7,0,13.18,13.18,completed_purchase,1,4.8,1
S-903588,2025-07-02,FairBook-Travel,Travel,Mobile,18-24,High,book_cheapest_option,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10.3,150,150,0,completed_booking,1,1.3,1
S-905402,2024-09-08,SocialFeed-App,Social Media,Tablet,25-34,Low,check_notifications,2,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3.4,0,0,0,completed_purchase,1,1.4,1
S-902360,2025-05-04,CleanShop-Ethical,E-commerce,Desktop,25-34,Low,buy_one_item,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5.4,40,50.18,10.18,completed_purchase,1,1.7,1
S-908535,2024-12-27,TravelDeal-Booking,Travel,Mobile,35-44,High,book_cheapest_option,6,6,1,1,1,0,0,0,0,0,0,0,1,1,0,1,12.3,150,173.86,23.86,completed_booking,1,3.8,0
S-908215,2025-01-13,OpenApp-Freemium,Productivity,Mobile,25-34,High,try_free_trial,2,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,6.0,0,0,0,signed_up,1,2.4,1
S-908528,2024-09-11,FitPro-Subscription,Fitness SaaS,Mobile,25-34,High,cancel_subscription,6,13,1,0,0,2,0,2,0,4,0,0,0,2,2,0,9.4,0,2.12,2.12,completed_cancellation,1,5.5,0
S-904734,2024-08-04,MegaShop-Ecommerce,E-commerce,Mobile,35-44,Low,buy_one_item,5,8,2,0,2,0,2,0,1,1,0,0,0,0,0,0,9.3,40,117.62,77.62,completed_purchase,1,3.6,1
S-910658,2024-08-27,FitPro-Subscription,Fitness SaaS,Mobile,18-24,Medium,cancel_subscription,4,10,0,0,0,3,0,2,0,1,0,0,0,4,0,0,9.0,0,0,14.17,gave_up_cancelling,0,5.4,0
S-901492,2024-08-18,SocialFeed-App,Social Media,Mobile,55+,High,check_notifications,2,4,0,0,0,0,0,1,0,0,0,0,0,3,0,0,4.2,0,0,0,completed_purchase,1,2.4,1
S-901820,2025-11-26,FoodFast-Delivery,Food Delivery,Desktop,25-34,Medium,order_dinner,3,9,3,2,4,0,0,0,0,0,0,0,0,0,0,0,7.0,25,88.21,63.21,completed_purchase,1,3.8,1
S-903320,2024-08-11,FairBook-Travel,Travel,Mobile,35-44,High,book_cheapest_option,4,4,0,0,1,0,0,0,1,0,1,0,0,0,1,0,12.1,150,162.46,12.46,completed_booking,1,1.8,1
S-904478,2024-08-12,TravelDeal-Booking,Travel,Mobile,55+,High,book_cheapest_option,4,8,2,1,1,0,0,0,4,0,0,0,0,0,0,0,14.0,150,150,28.28,noticed_hidden_fee_abandoned,0,4.9,1
S-907990,2024-12-27,QuickStream-Video,Subscription,Mobile,35-44,Low,cancel_subscription,3,6,0,0,0,1,0,3,0,0,2,0,0,0,0,0,4.9,0,0,0,gave_up_cancelling,0,2.9,0
S-908130,2024-08-29,MegaShop-Ecommerce,E-commerce,Mobile,45-54,Low,buy_one_item,5,8,1,2,1,0,0,0,3,1,0,0,0,0,0,0,11.1,40,67.8,27.8,completed_purchase,1,4.1,1
S-910418,2024-06-16,OpenApp-Freemium,Productivity,Desktop,18-24,Low,try_free_trial,2,5,0,0,0,0,0,0,0,3,0,0,0,2,0,0,8.7,0,13.38,13.38,signed_up,1,2.3,1
S-901148,2025-03-16,TravelDeal-Booking,Travel,Mobile,25-34,Low,book_cheapest_option,3,6,1,2,0,0,0,0,0,0,0,0,3,0,0,0,13.1,150,152.5,2.5,completed_booking,1,4.3,1
S-905448,2024-06-10,FoodFast-Delivery,Food Delivery,Mobile,55+,Medium,order_dinner,4,8,1,2,1,0,4,0,0,0,0,0,0,0,0,0,9.6,25,81.82,56.82,completed_purchase,1,4.6,1
S-907877,2024-10-13,FoodFast-Delivery,Food Delivery,Desktop,25-34,Low,order_dinner,3,9,4,2,3,0,0,0,0,0,0,0,0,0,0,0,10.5,25,25,60.54,noticed_hidden_fee_abandoned,0,4.0,0
S-908486,2025-04-27,NewsHub-Media,News/Media,Mobile,45-54,High,read_one_article,4,10,0,0,0,0,0,0,0,4,1,1,0,0,4,0,8.1,0,0,0,completed_purchase,1,5.6,1
S-909108,2025-11-15,NewsHub-Media,News/Media,Mobile,18-24,Low,read_one_article,4,8,0,0,0,0,0,0,0,2,2,2,0,0,2,0,4.5,0,16.17,16.17,completed_purchase,1,4.7,1
S-911743,2025-05-31,QuickStream-Video,Subscription,Mobile,55+,Low,cancel_subscription,5,8,0,0,0,1,0,2,0,2,1,2,0,0,0,0,7.3,0,0,12.08,gave_up_cancelling,0,5.0,1
S-905684,2025-02-11,FoodFast-Delivery,Food Delivery,Mobile,55+,High,order_dinner,5,8,1,1,1,0,4,0,0,1,0,0,0,0,0,0,6.7,25,125.41,100.41,completed_purchase,1,3.7,0
S-904174,2025-05-20,FoodFast-Delivery,Food Delivery,Tablet,55+,Low,order_dinner,4,6,3,0,1,0,0,0,0,0,0,1,0,0,1,0,8.1,25,38.35,13.35,completed_purchase,1,3.3,1
S-906890,2024-10-23,OpenApp-Freemium,Productivity,Mobile,45-54,High,try_free_trial,4,7,0,0,0,2,0,0,1,3,0,0,0,1,0,0,8.5,0,0,0,signed_up,1,4.5,0
S-905950,2025-09-25,FoodFast-Delivery,Food Delivery,Tablet,45-54,Medium,order_dinner,5,9,4,0,1,0,1,0,0,0,0,2,0,0,0,1,10.2,25,25,71.56,noticed_hidden_fee_abandoned,0,5.0,0
S-907823,2024-08-14,CleanShop-Ethical,E-commerce,Desktop,18-24,High,buy_one_item,2,3,0,2,0,0,0,0,0,0,1,0,0,0,0,0,6.3,40,40,0,completed_purchase,1,2.9,1
S-902014,2025-06-07,OpenApp-Freemium,Productivity,Mobile,45-54,Medium,try_free_trial,3,6,1,0,0,0,0,0,0,4,0,0,0,1,0,0,8.7,0,32.75,32.75,signed_up,1,4.2,0
S-906978,2024-08-13,FairBook-Travel,Travel,Mobile,45-54,High,book_cheapest_option,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,11.1,150,163.68,13.68,completed_booking,1,1.8,1
S-909267,2025-01-15,SocialFeed-App,Social Media,Mobile,55+,Low,check_notifications,4,6,0,0,0,0,0,1,0,0,0,3,0,1,1,0,5.2,0,0,0,completed_purchase,1,2.6,1
S-910459,2025-05-11,OpenApp-Freemium,Productivity,Mobile,25-34,Medium,try_free_trial,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5.7,0,0,0,signed_up,1,1.3,1
S-909256,2025-01-20,SocialFeed-App,Social Media,Desktop,25-34,Medium,check_notifications,4,9,0,0,0,0,0,2,0,0,0,1,0,3,3,0,7.7,0,0,0,completed_purchase,1,3.8,0
S-911369,2024-11-08,NewsHub-Media,News/Media,Mobile,45-54,Low,read_one_article,4,7,0,0,0,1,0,0,0,0,3,2,0,0,1,0,5.0,0,0,0,completed_purchase,1,3.5,1
S-909043,2025-02-28,MegaShop-Ecommerce,E-commerce,Desktop,55+,Medium,buy_one_item,5,8,1,1,2,0,0,0,3,0,0,1,0,0,0,0,9.9,40,53.32,13.32,completed_purchase,1,4.0,0
S-905064,2024-08-05,FairBook-Travel,Travel,Mobile,35-44,High,book_cheapest_option,2,3,0,0,2,0,0,0,0,0,0,0,1,0,0,0,11.9,150,174.95,24.95,completed_booking,1,1.8,1
S-908118,2025-10-31,CleanShop-Ethical,E-commerce,Mobile,25-34,Low,buy_one_item,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5.6,40,40,0,completed_purchase,1,2.4,1
S-900385,2024-06-28,TravelDeal-Booking,Travel,Mobile,45-54,Low,book_cheapest_option,7,17,4,4,2,0,0,0,1,0,0,1,3,0,0,2,16.2,150,150,57.33,noticed_hidden_fee_abandoned,0,7.4,0
S-905281,2025-08-03,QuickStream-Video,Subscription,Tablet,35-44,Medium,cancel_subscription,4,12,0,0,0,4,0,3,0,3,2,0,0,0,0,0,8.9,0,26.26,26.26,completed_cancellation,1,6.3,0
S-911639,2024-07-27,FitPro-Subscription,Fitness SaaS,Mobile,25-34,Medium,cancel_subscription,3,9,0,0,0,2,0,0,0,3,0,0,0,4,0,0,8.2,0,25.92,25.92,completed_cancellation,1,5.0,1
